feature	importance
lfhf_3d_cv_mean	0.001370370370370371
lfhf_3d_mean_mean	0.0013690732758620688
sleep_qual_7d_slope_std	0.0013679917279411763
rmssd_5d_mean_std	0.0013636363636363637
sleep_qual_7d_std_std	0.0013537080203746873
hr_5d_cv_min	0.001349635467579016
sleep_dur_5d_autocorr_std	0.0013454711036146832
rmssd_7d_std_std	0.0013434707230225728
lfhf_5d_std_max	0.0013372619803010293
sleep_dur_3d_cv_max	0.0013257575757575756
sleep_qual_3d_slope_mean	0.0013233243364822308
sleep_qual_5d_cv_max	0.0013098908918406072
sleep_dur_5d_autocorr_min	0.0013065689792663476
sleep_qual_14d_slope_mean	0.0013022596806870762
lfhf_21d_slope_max	0.0012892403937381403
lfhf_3d_slope_mean	0.0012889309764309764
sleep_qual_28d_slope_mean	0.00128258547008547
sleep_qual_5d_mean_mean	0.0012808349146110059
sleep_dur_3d_autocorr_std	0.0012737811340752516
rmssd_3d_mean_std	0.001271628970461006
rmssd_5d_slope_mean	0.001271382691007437
rmssd_5d_cv_mean	0.0012713648183287657
sleep_dur_5d_slope_std	0.0012692992926613613
sleep_dur_3d_mean_max	0.001260769459298871
lfhf_21d_slope_std	0.0012573313782991205
sleep_qual_3d_autocorr_std	0.001243178662533501
lfhf_7d_cv_min	0.0012394255361007278
sleep_qual_21d_std_max	0.0012385417170106166
rmssd_5d_autocorr_min	0.0012373737373737375
hr_3d_std_min	0.0012349366830065362
sleep_qual_5d_slope_mean	0.0012246621621621618
sleep_dur_14d_mean_min	0.0012145252837977296
hr_5d_slope_min	0.0012130376344086024
lfhf_5d_mean_mean	0.0012129157958899338
hr_21d_cv_mean	0.0012052772808586758
hr_14d_cv_mean	0.0011935897435897433
sleep_qual_3d_mean_std	0.001183861154110767
sleep_qual_21d_slope_max	0.0011833631484794273
hr_3d_mean_max	0.0011718749999999997
sleep_qual_14d_slope_min	0.001170848267622461
sleep_dur_5d_std_mean	0.001170848267622461
lfhf_5d_mean_min	0.0011706994116460858
rmssd_3d_std_std	0.001170474205725071
lfhf_21d_cv_max	0.0011703810315652414
hr_3d_autocorr_std	0.0011686298915474709
lfhf_21d_cv_std	0.00114888099619852
sleep_qual_7d_mean_min	0.001144166436908372
sleep_onset_sd_28d_max	0.0011417784590325162
sleep_dur_5d_cv_max	0.0011353107555821375
sleep_qual_21d_cv_mean	0.0011348942006269593
lfhf_5d_std_std	0.0011198156682027654
sleep_qual_21d_cv_max	0.0011019607843137254
sleep_qual_21d_mean_mean	0.0011003508771929825
lfhf_3d_cv_min	0.0010984929468234503
lfhf_28d_std_mean	0.001097320063778199
sleep_lat_3d_std_min	0.0010838718623225154
sleep_lat_21d_cv_min	0.0010775325410299946
rmssd_28d_autocorr_std	0.0010688581716587812
sleep_lat_7d_slope_mean	0.0010679037778904665
hr_7d_autocorr_min	0.001066300991661032
rmssd_21d_std_min	0.0010658336537229265
hr_5d_autocorr_mean	0.001062837975716764
hr_14d_slope_mean	0.0010610661268556003
lfhf_28d_slope_std	0.001052241461100569
sleep_qual_14d_autocorr_mean	0.0010510510510510507
rmssd_14d_std_max	0.0010505514705882353
hr_3d_mean_std	0.0010501035488807806
rmssd_3d_cv_min	0.0010457417490085364
sleep_qual_3d_mean_mean	0.0010452769886363635
hr_5d_std_max	0.0010320893014149598
sleep_lat_7d_std_min	0.0010290658602150537
sleep_lat_7d_mean_max	0.001028447802641351
rmssd_7d_slope_mean	0.0010195118119155013
sleep_dur_5d_autocorr_mean	0.0010178817405667646
hr_28d_mean_mean	0.001017313218390805
hr_28d_autocorr_mean	0.0010170940170940181
sleep_dur_21d_cv_std	0.001013191040305011
lfhf_7d_slope_min	0.0010104402337858221
sleep_lat_14d_cv_std	0.001005462873610321
hr_5d_mean_std	0.0010001336475794686
sleep_lat_3d_mean_min	0.0009968204411307858
sleep_dur_14d_std_std	0.0009963689179375453
sleep_dur_28d_cv_min	0.000992648709315376
sleep_qual_5d_autocorr_std	0.000985667349377027
sleep_dur_7d_slope_mean	0.0009845840158340157
sleep_qual_5d_autocorr_max	0.0009821428571428572
sleep_qual_21d_autocorr_std	0.0009820574162679428
lfhf_5d_autocorr_max	0.0009637237762237765
lfhf_21d_slope_mean	0.0009587327548347039
rmssd_21d_std_mean	0.0009527041245791248
rmssd_21d_cv_max	0.0009518259518259518
hr_5d_std_std	0.0009488924834469087
sleep_lat_14d_autocorr_max	0.0009375159333799034
sleep_dur_14d_autocorr_max	0.0009196696696696697
sleep_dur_21d_autocorr_min	0.0009184629803186504
rmssd_7d_std_min	0.0009058823529411761
sleep_onset_sd_3d_min	0.0009034369073880563
sleep_lat_7d_autocorr_std	0.0008928571428571428
sleep_dur_14d_std_max	0.0008870689655172414
rmssd_14d_mean_mean	0.0008834134615384622
sleep_lat_5d_std_min	0.0008824094153790553
hr_28d_mean_std	0.0008760764698264702
hr_28d_slope_std	0.0008734402852049913
hr_7d_mean_min	0.0008726718446387564
hr_28d_mean_max	0.000865895800106326
rmssd_28d_mean_std	0.0008635366456556664
sleep_onset_sd_14d_max	0.0008595374220374222
sleep_qual_5d_slope_std	0.000858762254901961
sleep_lat_3d_autocorr_mean	0.0008564782297890403
hr_5d_autocorr_max	0.0008545511908237241
sleep_qual_28d_slope_max	0.0008509715380405039
rmssd_28d_std_max	0.0008377791723870697
sleep_lat_21d_autocorr_min	0.000830916515426497
rmssd_3d_slope_max	0.0008273503259864738
rmssd_14d_std_std	0.0008241030999651688
hr_28d_slope_max	0.0008154121863799285
hr_3d_cv_min	0.0008129932133838385
lfhf_21d_autocorr_min	0.000812971342383107
sleep_lat_14d_autocorr_mean	0.0008059210526315788
hr_3d_std_max	0.0008012544802867383
rmssd_28d_slope_max	0.0007986111111111109
hr_28d_autocorr_max	0.0007985739750445634
sleep_qual_5d_slope_min	0.0007983790106951875
sleep_onset_sd_7d_std	0.0007926925505050505
sleep_qual_28d_std_max	0.0007860962566844918
lfhf_14d_slope_std	0.0007852564102564104
lfhf_14d_autocorr_min	0.0007830255681818182
rmssd_21d_slope_min	0.0007804307622258386
lfhf_21d_mean_mean	0.0007799235993208828
