auc	cohens_d	p_value	ci_lower	ci_upper	n_dep	n_healthy	feature	dataset	stat_type	p_adjusted	status
0.5446428571428571	0.265201965781351	0.3413173652694611	0.5047544642857142	0.7046029491341992	21	32	rest_ratio_14d_autocorr	depresjon	autocorrelation	0.6262258092510631	DISCARD
0.5416666666666667	0.38025116712408036	0.5728542914171657	0.5	1.0	3	16	rest_ratio_21d_mean	depresjon	mean	0.7829008649367931	DISCARD
0.625	0.8131550560566783	0.249500998003992	0.5	1.0	3	16	rest_ratio_21d_std	depresjon	standard_deviation	0.5683078287868707	DISCARD
0.5208333333333333	1.5756613445733276	0.11776447105788423	0.5090909090909091	1.0	3	16	rest_ratio_21d_cv	depresjon	coefficient_of_variation	0.3532934131736527	DISCARD
0.5208333333333333	0.22164371085446957	0.7485029940119761	0.5	0.8691666666666665	3	16	rest_ratio_21d_slope	depresjon	slope	0.8768177929854577	DISCARD
0.5679347826086957	0.16821326769322845	0.5409181636726547	0.5056386328725038	0.7300695592286501	23	32	entropy_3d_mean	depresjon	mean	0.7736387689736804	DISCARD
0.5135869565217391	0.08222267900243847	0.7704590818363274	0.5053	0.7044647329824013	23	32	entropy_3d_std	depresjon	standard_deviation	0.8856679165034418	DISCARD
0.642663043478261	0.6776490000364708	0.017964071856287425	0.5159968253968255	0.7917119565217392	23	32	entropy_3d_cv	depresjon	coefficient_of_variation	0.16996775679410409	DISCARD
0.5489130434782609	0.19123551725426247	0.5389221556886228	0.5027166608228145	0.6905357142857143	23	32	entropy_3d_slope	depresjon	slope	0.7736387689736804	DISCARD
0.6345108695652174	0.4587107000865882	0.08383233532934131	0.5063494694960212	0.7732319274247174	23	32	entropy_3d_autocorr	depresjon	autocorrelation	0.32223053892215564	DISCARD
0.5733695652173914	0.1442681005782995	0.6007984031936128	0.505300806451613	0.7164651268115942	23	32	entropy_5d_mean	depresjon	mean	0.7946043397076814	DISCARD
0.5516304347826086	0.053116372428386086	0.8323353293413174	0.50288841473052	0.6890318740399387	23	32	entropy_5d_std	depresjon	standard_deviation	0.9059933230883366	DISCARD
0.6385869565217391	0.6881706332900265	0.011976047904191617	0.5165008565409634	0.7823588709677419	23	32	entropy_5d_cv	depresjon	coefficient_of_variation	0.1432135728542914	DISCARD
0.6086956521739131	0.416548416380748	0.16167664670658682	0.5132142857142857	0.7535638655462185	23	32	entropy_5d_slope	depresjon	slope	0.46247040802116696	DISCARD
0.5529891304347827	0.1875061364645	0.48902195608782434	0.5039357142857143	0.6985550964187328	23	32	entropy_5d_autocorr	depresjon	autocorrelation	0.7485029940119761	DISCARD
0.5774456521739131	0.13829466064787946	0.6087824351297405	0.5054769428432531	0.7252635116015846	23	32	entropy_7d_mean	depresjon	mean	0.7965982927761498	DISCARD
0.5869565217391305	0.2304722665272915	0.42115768463073855	0.5055041759587214	0.7433153055128862	23	32	entropy_7d_std	depresjon	standard_deviation	0.6950773777121083	DISCARD
